交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2016-05-01 00:17:47,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4004482001201605015389377287,`2016050100174007792,`oJv3bwpcpm4AA9K_Lf7EQoxGezgE,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:18:19,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4000522001201605015389379357,`2016050100181507794,`oJv3bwpK-12yWX_Zje-9Ir_P91Z8,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错了性别，不错爱,`paytest,`0.08000,`2.00%
`2016-05-01 00:18:31,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4005432001201605015389382164,`2016050100182607796,`oJv3bwmQD5fdcdm7XhbnmF9Lue-M,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:18:28,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4002252001201605015389387012,`2016050100182207795,`oJv3bworyQxx7S9_AjcnhlgpB8xM,`JSAPI,`SUCCESS,`ICBC_DEBIT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:19:09,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4005052001201605015389389925,`2016050100190407802,`oJv3bwr5QenUcuNK4XevgRTrFmFw,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:19:36,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4007642001201605015389392940,`2016050100192907805,`oJv3bwqB5MmSBw-j2a82br5I0Sic,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:19:41,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4000012001201605015389394901,`2016050100193407806,`oJv3bwlvYaVEEMffc5V9aqnJ6Z2U,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:19:51,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4005082001201605015389397474,`2016050100194107807,`oJv3bwi9WYnyHJ-l06okTQdQM4V4,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:20:05,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4009802001201605015389400635,`2016050100195907810,`oJv3bwr2jx3e4wKFhjE0yiCb0L0I,`JSAPI,`SUCCESS,`ABC_DEBIT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】夏雪薇安之念念不忘,`paytest,`0.02000,`2.00%
`2016-05-01 00:21:13,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4006572001201605015389405069,`2016050100204207813,`oJv3bwk5Nl7SfpELyBrPWobiQtuM,`JSAPI,`SUCCESS,`PSBC_DEBIT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:21:19,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4003362001201605015389405938,`2016050100211207814,`oJv3bwhRXboYvkLQm3hk5uyCplzg,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:22:32,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4008062001201605015389415384,`2016050100222607820,`oJv3bwhM1E8UlpT-uGMvvJrQmAbE,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:22:27,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4005002001201605015389418689,`2016050100221907819,`oJv3bwlZhIRHnh7sfgqLue0rWTtE,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:23:04,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4004642001201605015389421164,`2016050100225707823,`oJv3bwiZT0V-Oph21O2aGFVt5w_w,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:23:12,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4009652001201605015389422547,`2016050100230407824,`oJv3bwgqK0O-nDKrWS_BJpPXWeng,`JSAPI,`SUCCESS,`ICBC_DEBIT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:24:06,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4005402001201605015389427578,`2016050100234907827,`oJv3bwnElbyzoeNvjcXOWQUgYaVs,`JSAPI,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】Yes or No 2.5,`paytest,`0.04000,`2.00%
`2016-05-01 00:24:43,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4004392001201605015389433195,`2016050100243707831,`oJv3bwr0nnQpwiv8-6eMd-NKi3y0,`JSAPI,`SUCCESS,`BOC_DEBIT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:24:23,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4006332001201605015389434652,`2016050100240907828,`oJv3bwtaCmAJBT9KKpfS125iDI9U,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:24:45,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4002552001201605015389435106,`2016050100243807832,`oJv3bwoQd76fffzyfcT-7mveMJ0o,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错了性别，不错爱,`paytest,`0.08000,`2.00%
